Round 1
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
10,Santa Fe Southsiders,Jakobi Meyers WR | JAC ,,54 sec,150.7,0.0
11,Espanola chili,Wil Lutz K | DEN,,8 sec,102.0,88.0
12,Fantasy Reaper,Julio Jones WR | ,,3 sec,75.3,0.0
Round 11
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Fantasy Reaper,Buccaneers DST | TB ,,39 sec,86.0,14.0
2,Espanola chili,Saints DST | NO ,,13 sec,92.0,56.0
3,Santa Fe Southsiders,Brandon Aiyuk WR | SF ,,50 sec,203.7,86.0
4,Muscle Beach,Matt Ryan QB | ,,14 sec,191.5,13.1
5,South Valley Gators,49ers DST | SF ,,6 sec,142.0,120.0
6,Dewstruction,Ravens DST | BAL ,,27 sec,105.0,54.0
7,Deer Valley Vandals,James Cook RB | BUF ,,19 sec,107.4,0.0
8,Jew Breez,Steelers DST | PIT ,,5 sec,81.0,51.0
9,Hawks,DeAndre Hopkins WR | BAL,,14 sec,120.7,105.9
10,Shmickle the Pickle,Rams DST | LAR ,,13 sec,76.0,26.0
11,Roswell Aliens,Brian Robinson Jr. RB | ATL ,,1 min 18 sec,108.8,5.4
12,Colorado Caribou,Harrison Butker K | KC,,15 sec,120.0,14.0
Round 12
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Colorado Caribou,Kenneth Gainwell RB | TB ,,25 sec,109.7,0.0
2,Roswell Aliens,Matt Gay K | LV ,,17 sec,115.0,38.0
3,Shmickle the Pickle,Ryan Succop K | ,,18 sec,117.0,79.0
4,Hawks,Kenneth Walker III RB | KC ,,35 sec,202.8,115.0
5,Jew Breez,Kirk Cousins QB | LV ,,8 sec,368.5,58.7
6,Deer Valley Vandals,Evan McPherson K | CIN,,11 sec,133.0,17.0
7,Dewstruction,Treylon Burks WR | WAS,,10 sec,77.6,0.0
8,South Valley Gators,Rodrigo Blankenship K | ,,8 sec,16.0,8.0
9,Muscle Beach,Cardinals DST | ARI ,,1 min 34 sec,84.0,83.0
10,Santa Fe Southsiders,Packers DST | GB ,,6 sec,89.0,26.0
11,Espanola chili,Jameis Winston QB | NYG,,8 sec,52.4,0.0
12,Fantasy Reaper,Cole Kmet TE | CHI,,4 sec,122.3,45.8
Round 13
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Fantasy Reaper,Brandon McManus K | GB,,11 sec (2 min 35 sec),109.0,53.0
2,Espanola chili,Colts DST | IND ,,1 min 22 sec (7 min 44 sec),84.0,17.0
3,Santa Fe Southsiders,Daniel Carlson K | LV,,3 sec (5 min 3 sec),137.0,67.0
4,Muscle Beach,Jake Elliott K | PHI,,5 sec (4 min 31 sec),135.0,62.0
5,South Valley Gators,Alexander Mattison RB | MIA,,4 sec (3 min 0 sec),81.7,0.0
6,Dewstruction,Zamir White RB | SF ,,23 sec (7 min 0 sec),7.9,0.0
7,Deer Valley Vandals,Broncos DST | DEN ,,48 sec (9 min 57 sec),76.0,73.0
8,Jew Breez,Chris Boswell K | PIT,,12 sec (4 min 17 sec),78.0,33.0
9,Hawks,Romeo Doubs WR | NE ,,5 sec (4 min 30 sec),81.6,4.1
10,Shmickle the Pickle,Jamaal Williams RB | NO,,1 min 10 sec (5 min 45 sec),221.9,85.3
11,Roswell Aliens,Cowboys DST | DAL ,,13 sec (7 min 16 sec),134.0,122.0
12,Colorado Caribou,Dolphins DST | MIA ,,1 sec (3 min 13 sec),100.0,8.0
